type,chapter,location,japanese,english,row
chapter,,,,,91
location,Setting Out! The Dreamy Millennial Festival,,,,93
text,Setting Out! The Dreamy Millennial Festival,"Crono's House, 1000 A.D.",[Jina] 「クロノ……,[Jina] Crono......,97
text,Setting Out! The Dreamy Millennial Festival,"Crono's House, 1000 A.D.",クロノ！,Crono!,99
text,Setting Out! The Dreamy Millennial Festival,"Crono's House, 1000 A.D.",クロノったら！[END],"Hey, Crono!",101
text,Setting Out! The Dreamy Millennial Festival,"Crono's House, 1000 A.D.",ジナ「いつまでねてるの？ いいかげん起きなさい！[END],Jina: How long are you sleeping? Get up already!,104
text,Setting Out! The Dreamy Millennial Festival,"Crono's House, 1000 A.D.",ジナ「ああ、リーネの鐘があんなに 気持ちよさそうに歌ってる。[END],"Jina: Ahh, Leene's Bell is singing so pleasantly.",107
text,Setting Out! The Dreamy Millennial Festival,"Crono's House, 1000 A.D.",ジナ「どうせゆうべ、こうふんして ねつけなかったんでしょ？ ま、建国千年のお祭りだから 無理ないけど…… あんまり調子に乗って ハシャぎすぎるんじゃないわよ！[END],"Jina: I'll bet you wound up too excited to get to sleep last night, didn't you? Well, it's the National Foundation Millenial Festival, so that's only natural, but......  Don't get caught up in the moment and party too much!",115
text,Setting Out! The Dreamy Millennial Festival,"Crono's House, 1000 A.D.",ジナ「さ、いいかげん起きなさい！[END],"Jina: Come on, get up already!",117
text,Setting Out! The Dreamy Millennial Festival,"Crono's House, 1000 A.D.",ジナ「やっと起きたのね。 そうそう、あの、おさななじみの 発明好きな子……,"Jina: I see you finally got up. Oh yes, your childhood friend, that girl who likes inventions......",121
text,Setting Out! The Dreamy Millennial Festival,"Crono's House, 1000 A.D.",アラ、ドわすれしちゃったわ。 なんていったっけ、あの子？[END],"Oh, it's slipped my mind. What was that girl's name?",124
text,Setting Out! The Dreamy Millennial Festival,"Crono's House, 1000 A.D.",ジナ「そう、ルッカ！,"Jina: That's right, Lucca!",126
text,Setting Out! The Dreamy Millennial Festival,"Crono's House, 1000 A.D.",ルッカの発明、見に行くんでしょ？[END],"You're going to see Lucca's invention, right?",128
text,Setting Out! The Dreamy Millennial Festival,"Crono's House, 1000 A.D.",ジナ「あんまり、おそくならないようにね。 さ、行ってらっしゃい。[END],"Jina: Make sure not to be too late. Well, I'll see you later.",131
text,Setting Out! The Dreamy Millennial Festival,"Crono's House, 1000 A.D.",ジナ「あっ、そうそう。 はい、おこづかい。 お祭り楽しんでらっしゃい。,"Jina: Oh yes, that's right! Here's your allowance! Have fun at the fair!",135
text,Setting Out! The Dreamy Millennial Festival,"Crono's House, 1000 A.D.",200Gを手に入れた！[END],Got 200G!,137
text,Setting Out! The Dreamy Millennial Festival,"Crono's House, 1000 A.D.",[System] 休みますか？ はい いいえ[END],[System] Rest? Yes No,142
location,Setting Out! The Dreamy Millennial Festival,,,,144
text,Setting Out! The Dreamy Millennial Festival,"Truce Residence, 1000 A.D.",[Young Woman] ねえ、知ってる？　ここガルディア王国が できて、今年で1000年。現ガルディア王 つまり、今の王様だけど33代なのよ。,"[Young Woman] Hey, did you know? It's 1000 years this year since Guardia Kingdom here was formed. The current King Guardia, our king now in other words, is the 33rd.",150
text,Setting Out! The Dreamy Millennial Festival,"Truce Residence, 1000 A.D.",で、その王様のなやみのタネは 一人娘の王女様。 なんでもすっごい、おてんばなんですって。,"And the root of that king's worries is the princess, his only daughter. They say she's an incredible tomboy.",154
text,Setting Out! The Dreamy Millennial Festival,"Truce Residence, 1000 A.D.",たぶん今ごろは、お城のなかで 『あたしも、お祭りいきたーい！』 なんて、おおさわぎしてるんじゃ ないかしらね。[END],"I wonder if she isn't making a big fuss in the castle about now, something like “I wanna go to the festival too!”",159
text,Setting Out! The Dreamy Millennial Festival,"Truce Residence, 1000 A.D.",[Young Man] あの、まいどおさわがせ娘、ルッカが 千年祭会場で、せいきの大発表をするって せんでんしてたぜ。[END],"[Young Man] That girl who's always causing a big fuss, Lucca, was advertising about making the announcement of the century at the Millennial Festival grounds.",164
text,Setting Out! The Dreamy Millennial Festival,"Truce Residence, 1000 A.D.",[Young Woman] 私ね、今がいちばんしあわせな時…… そんな気がするの。[END],[Young Woman] Now is the happiest time for me...... That's the feeling I'm getting.,168
location,Setting Out! The Dreamy Millennial Festival,,,,170
text,Setting Out! The Dreamy Millennial Festival,"Truce Inn, 1000 A.D.",[Waitress] あら、いらっしゃい。 ゆっくりしていってね。 なーんていっても、無理よね。,"[Waitress] Ah, welcome. Take your time. Or whatever, it's overdoing it to say that.",176
text,Setting Out! The Dreamy Millennial Festival,"Truce Inn, 1000 A.D.",あ～あ、私もはやくシゴトをおわって お祭りを見にいきたいわ。[END],"Aaah, I wanna hurry up and finish work and go see the festival too!",179
text,Setting Out! The Dreamy Millennial Festival,"Truce Inn, 1000 A.D.",[Inn Keeper] おとまりは10Gです。 はい いいえ[END],[Inn Keeper] It's 10G to stay here. Yes No,184
text,Setting Out! The Dreamy Millennial Festival,"Truce Inn, 1000 A.D.",[Innkeeper] ではいつでもどうぞ。[END],"[Innkeeper] Well then, feel free any time.",187
